"Cognition","Honesty","Communication","Chats","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",1,13,0.950191570881226,3.05459770114943
"Mini","Free","Between",1,14,0.947745901639344,2.98770491803279
"Mini","Free","Between",1,15,0.948405253,3.00844277673546
"Mini","Free","Between",1,16,0.946028513238289,2.96639511201629
"Mini","Free","Between",1,17,0.942115768463074,2.98502994011976
"Mini","Free","Between",1,18,0.946938775510204,2.97959183673469
"Mini","Free","Between",1,19,0.954909819639279,3.05110220440882
"Mini","Free","Between",1,20,0.944117647058824,2.92156862745098
"Mini","Free","Between",1,21,0.948979591836735,3
"Mini","Free","Between",1,22,0.952286282,3.00198807157058
"Mini","Free","Between",1,23,0.955734406438632,2.98591549295775
"Mini","Free","Between",1,24,0.9510556621881,3.02687140115163
"Mini","Free","Between",1,25,0.944139194139194,2.96428571428571
"Mini","Free","Between",1,26,0.942073170731707,2.95833333333333
"Mini","Free","Between",1,27,0.940126050420168,2.981092437
"Mini","Free","Between",1,28,0.954724409448819,2.97145669291339
"Mini","Free","Between",1,29,0.964285714285714,3.05714285714286
"Mini","Free","Between",1,30,0.957425742574257,2.95742574257426
"Mini","Free","Between",2,1,0.922630560928433,2.98646034816248
"Mini","Free","Between",2,2,0.945945945945946,2.97505197505198
"Mini","Free","Between",2,3,0.933272395,2.9908592321755
"Mini","Free","Between",2,4,0.942196531791908,2.9402697495183
"Mini","Free","Between",2,5,0.94100580270793,2.97485493230174
"Mini","Free","Between",2,6,0.929006085192698,2.91379310344828
"Mini","Free","Between",2,7,0.937625755,2.91549295774648
"Mini","Free","Between",2,8,0.934905660377358,2.91415094339623
"Mini","Free","Between",2,9,0.938461538461538,2.95384615384615
"Mini","Free","Between",2,10,0.934900542495479,2.96021699819168
"Mini","Free","Between",2,11,0.936802973977695,2.97026022304833
"Mini","Free","Between",2,12,0.937732342007435,2.96189591078067
"Mini","Free","Between",2,13,0.934077079,2.9421906693712
"Mini","Free","Between",2,14,0.943548387096774,2.97379032258065
"Mini","Free","Between",2,15,0.925847457627119,2.9375
"Mini","Free","Between",2,16,0.931632653061224,2.95714285714286
"Mini","Free","Between",2,17,0.937614678899083,2.99449541284404
"Mini","Free","Between",2,18,0.938669438669439,2.94594594594595
"Mini","Free","Between",2,19,0.919254658385093,2.94513457556936
"Mini","Free","Between",2,20,0.937113402061856,3.04536082474227
"Mini","Free","Between",2,21,0.920892495,2.93103448275862
"Mini","Free","Between",2,22,0.918454935622318,2.903433476
"Mini","Free","Between",2,23,0.930612244897959,2.98367346938775
"Mini","Free","Between",2,24,0.950884086444008,3.01178781925344
"Mini","Free","Between",2,25,0.947470817120622,3.0136186770428
"Mini","Free","Between",2,26,0.93011811023622,2.93405511811024
"Mini","Free","Between",2,27,0.923379174852652,2.90667976424362
"Mini","Free","Between",2,28,0.937984496,3
"Mini","Free","Between",2,29,0.943119266055046,2.98899082568807
"Mini","Free","Between",2,30,0.936458333333333,2.953125
"Mini","Free","Between",3,1,0.930664063,2.908203125
"Mini","Free","Between",3,2,0.940677966,3.0021186440678
"Mini","Free","Between",3,3,0.937369519832985,2.9874739039666
"Mini","Free","Between",3,4,0.942540322580645,2.98084677419355
"Mini","Free","Between",3,5,0.941860465116279,2.95542635658915
"Mini","Free","Between",3,6,0.934917355371901,2.90082644628099
"Mini","Free","Between",3,7,0.938212928,2.94866920152091
"Mini","Free","Between",3,8,0.946969697,3.03787878787879
"Mini","Free","Between",3,9,0.925847457627119,2.94915254237288
"Mini","Free","Between",3,10,0.91530612244898,2.9530612244898
"Mini","Free","Between",3,11,0.936559139784946,2.93763440860215
"Mini","Free","Between",3,12,0.942687747035573,2.95553359683794
"Mini","Free","Between",3,13,0.93816631130064,2.99466950959488
"Mini","Free","Between",3,14,0.948421052631579,2.94526315789474
"Mini","Free","Between",3,15,0.947416974169742,3.02029520295203
"Mini","Free","Between",3,16,0.942148760330578,2.95247933884298
"Mini","Free","Between",3,17,0.928427419354839,2.99596774193548
"Mini","Free","Between",3,18,0.931451612903226,2.96471774193548
"Mini","Free","Between",3,19,0.927672955974843,2.9601677148847
"Mini","Free","Between",3,20,0.934826883910387,2.9979633401222
"Mini","Free","Between",3,21,0.928712871287129,3.00594059405941
"Mini","Free","Between",3,22,0.940114068441065,2.95627376425856
"Mini","Free","Between",3,23,0.927536232,2.96273291925466
"Mini","Free","Between",3,24,0.9375,2.94758064516129
"Mini","Free","Between",3,25,0.945692883895131,2.95880149812734
"Mini","Free","Between",3,26,0.93289224952741,2.93950850661626
"Mini","Free","Between",3,27,0.937614678899083,3
"Mini","Free","Between",3,28,0.943564356435644,2.97425742574257
"Mini","Free","Between",3,29,0.938735177865613,2.95849802371542
"Mini","Free","Between",3,30,0.939,2.916
"Mini","Free","Between",4,1,0.942231075697211,2.93525896414343
