"Cognition","Honesty","Communication","Rep","Coop_Ewan","Payout"
"Mini","Forced","gossip",14,0.92004048582996,2.88663967611336
"Mini","Forced","gossip",15,0.931481481481482,2.86666666666667
"Mini","Forced","gossip",16,0.917315175097276,2.8784046692607
"Mini","Forced","gossip",17,0.891089108910891,2.75742574257426
"Mini","Forced","gossip",18,0.884920634920635,2.78174603174603
"Mini","Forced","gossip",19,0.924489795918367,2.88265306122449
"Mini","Forced","gossip",20,0.91542750929368,2.85315985130112
"Mini","Forced","between",11,0.942800788954635,3.05325443786982
"Mini","Forced","between",12,0.921370967741936,2.93346774193548
"Mini","Forced","between",13,0.941737288135593,2.96398305084746
"Mini","Forced","between",14,0.946911196911197,3.05019305019305
"Mini","Forced","between",15,0.936190476190476,2.95714285714286
"Mini","Forced","between",16,0.942857142857143,2.9952380952381
"Mini","Forced","between",17,0.915991902834008,2.94331983805668
"Mini","Forced","between",18,0.933127572016461,2.96090534979424
"Mini","Forced","between",19,0.919387755102041,2.96224489795918
"Mini","Forced","between",20,0.930851063829787,3.00212765957447
"Mini","Forced","both",11,0.935515873015873,2.98412698412698
"Mini","Forced","both",12,0.937864077669903,2.96699029126214
"Mini","Forced","both",13,0.947422680412371,3.01443298969072
"Mini","Forced","both",14,0.947314049586777,2.9504132231405
"Mini","Forced","both",15,0.938383838383838,2.97676767676768
"Mini","Forced","both",16,0.948514851485148,2.96435643564356
"Mini","Forced","both",17,0.959280303030303,2.97348484848485
"Mini","Forced","both",18,0.960079840319361,3.07584830339321
"Mini","Forced","both",19,0.947115384615385,2.95384615384615
"Mini","Forced","both",20,0.940340909090909,2.98295454545455
"Nano","Free","both",11,0.930616740088106,2.86563876651982
"Nano","Free","both",12,0.939148073022312,2.93002028397566
"Nano","Free","both",13,0.936695278969957,2.88412017167382
"Nano","Free","both",14,0.952286282306163,2.92942345924453
"Nano","Free","both",15,0.946911196911197,2.90250965250965
"Nano","Free","both",16,0.956740442655936,2.97585513078471
"Nano","Free","both",17,0.923580786026201,2.87882096069869
"Nano","Free","both",18,0.953465346534653,2.96039603960396
"Nano","Free","both",19,0.93429158110883,2.86139630390144
"Nano","Free","both",20,0.917008196721312,2.82274590163934
