"Cognition","Honesty","Communication","Proportion","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",40,14,0.92315369261477,2.92814371257485
"Mini","Free","Between",40,15,0.88655462184874,2.77836134453782
"Mini","Free","Between",40,16,0.861228813559322,2.64936440677966
"Mini","Free","Between",40,17,0.896443514644351,2.77719665271967
"Mini","Free","Between",40,18,0.91260162601626,2.88008130081301
"Mini","Free","Between",40,19,0.909278350515464,2.87835051546392
"Mini","Free","Between",40,20,0.905208333333333,2.8375
"Mini","Free","Between",40,21,0.895876288659794,2.8298969072165
"Mini","Free","Between",40,22,0.895372233400402,2.77162977867203
"Mini","Free","Between",40,23,0.884180790960452,2.76459510357815
"Mini","Free","Between",40,24,0.889676113360324,2.79858299595142
"Mini","Free","Between",40,25,0.917879417879418,2.86590436590437
"Mini","Free","Between",40,26,0.897705544933078,2.79445506692161
"Mini","Free","Between",40,27,0.905286343612335,2.81167400881057
"Mini","Free","Between",40,28,0.88899430740038,2.77229601518027
"Mini","Free","Between",40,29,0.898305084745763,2.75635593220339
"Mini","Free","Between",40,30,0.886666666666667,2.77428571428571
"Mini","Free","Between",50,1,0.897590361445783,2.7429718875502
"Mini","Free","Between",50,2,0.906930693069307,2.83168316831683
"Mini","Free","Between",50,3,0.919925512104283,2.85009310986965
"Mini","Free","Between",50,4,0.900756143667297,2.76181474480151
"Mini","Free","Between",50,5,0.893814432989691,2.80618556701031
"Mini","Free","Between",50,6,0.910777385159011,2.84275618374558
"Mini","Free","Between",50,7,0.934535104364326,2.92504743833017
"Mini","Free","Between",50,8,0.913385826771654,2.84055118110236
"Mini","Free","Between",50,9,0.935452793834297,2.92389210019268
"Mini","Free","Between",50,10,0.879142300194932,2.76705653021442
"Mini","Free","Between",50,11,0.910309278350515,2.83711340206186
"Mini","Free","Between",50,12,0.916988416988417,2.85521235521236
"Mini","Free","Between",50,13,0.916666666666667,2.89357429718876
"Mini","Free","Between",50,14,0.909671532846715,2.8786496350365
"Mini","Free","Between",50,15,0.900414937759336,2.81327800829876
"Mini","Free","Between",50,16,0.909433962264151,2.85471698113208
"Mini","Free","Between",50,17,0.894628099173554,2.80785123966942
"Mini","Free","Between",50,18,0.925047438330171,2.87950664136622
"Mini","Free","Between",50,19,0.901408450704225,2.83702213279678
"Mini","Free","Between",50,20,0.905172413793103,2.81465517241379
"Mini","Free","Between",50,21,0.927685950413223,2.90702479338843
"Mini","Free","Between",50,22,0.908644400785855,2.83791748526523
"Mini","Free","Between",50,23,0.919449901768173,2.87917485265226
"Mini","Free","Between",50,24,0.911089866156788,2.80210325047801
"Mini","Free","Between",50,25,0.901701323251418,2.83931947069943
"Mini","Free","Between",50,26,0.915520628683694,2.87917485265226
"Mini","Free","Between",50,27,0.908523908523908,2.87318087318087
"Mini","Free","Between",50,28,0.891682785299807,2.79206963249516
"Mini","Free","Between",50,29,0.922619047619048,2.88392857142857
"Mini","Free","Between",50,30,0.906626506024096,2.81726907630522
"Mini","Free","Between",60,1,0.916023166023166,2.85810810810811
"Mini","Free","Between",60,2,0.872933884297521,2.72520661157025
"Mini","Free","Between",60,3,0.885931558935361,2.79752851711027
"Mini","Free","Between",60,4,0.89458413926499,2.78820116054159
"Mini","Free","Between",60,5,0.922222222222222,2.88181818181818
"Mini","Free","Between",60,6,0.907514450867052,2.86608863198459
"Mini","Free","Between",60,7,0.892259414225941,2.73012552301255
"Mini","Free","Between",60,8,0.881465517241379,2.79741379310345
"Mini","Free","Between",60,9,0.924586776859504,2.8595041322314
"Mini","Free","Between",60,10,0.904858299595142,2.81477732793522
"Mini","Free","Between",60,11,0.930861723446894,2.8687374749499
"Mini","Free","Between",60,12,0.889763779527559,2.82283464566929
"Mini","Free","Between",60,13,0.888211382113821,2.73170731707317
"Mini","Free","Between",60,14,0.907587548638132,2.80350194552529
"Mini","Free","Between",60,15,0.90359168241966,2.80718336483932
"Mini","Free","Between",60,16,0.906438631790744,2.84708249496982
"Mini","Free","Between",60,17,0.902439024390244,2.80956848030019
"Mini","Free","Between",60,18,0.904862579281184,2.86892177589852
"Mini","Free","Between",60,19,0.912350597609562,2.84262948207171
"Mini","Free","Between",60,20,0.922669491525424,2.8781779661017
"Mini","Free","Between",60,21,0.913179916317992,2.83995815899582
"Mini","Free","Between",60,22,0.927592954990215,2.89041095890411
"Mini","Free","Between",60,23,0.879734848484849,2.80492424242424
"Mini","Free","Between",60,24,0.915506958250497,2.84691848906561
"Mini","Free","Between",60,25,0.908997955010225,2.81492842535787
"Mini","Free","Between",60,26,0.917953667953668,2.82722007722008
"Mini","Free","Between",60,27,0.898089171974522,2.76326963906582
"Mini","Free","Between",60,28,0.887473460721868,2.77813163481953
"Mini","Free","Between",60,29,0.910609037328094,2.76031434184676
"Mini","Free","Between",60,30,0.905607476635514,2.83177570093458
"Mini","Free","Between",70,1,0.91260162601626,2.81808943089431
"Mini","Free","Between",70,2,0.889452332657201,2.79411764705882
"Mini","Free","Between",70,3,0.881818181818182,2.76060606060606
"Mini","Free","Between",70,4,0.884543761638734,2.73556797020484
"Mini","Free","Between",70,5,0.908722109533468,2.83367139959432
"Mini","Free","Between",70,6,0.917190775681342,2.87002096436059
"Mini","Free","Between",70,7,0.898913043478261,2.78913043478261
"Mini","Free","Between",70,8,0.90973630831643,2.90567951318458
"Mini","Free","Between",70,9,0.917821782178218,2.84257425742574
"Mini","Free","Between",70,10,0.905117270788913,2.81449893390192
"Mini","Free","Between",70,11,0.894949494949495,2.78383838383838
"Mini","Free","Between",70,12,0.893095768374165,2.82516703786192
"Mini","Free","Between",70,13,0.89458413926499,2.78433268858801
"Mini","Free","Between",70,14,0.899799599198397,2.80460921843687
"Mini","Free","Between",70,15,0.876530612244898,2.75816326530612
"Mini","Free","Between",70,16,0.902414486921529,2.75653923541247
"Mini","Free","Between",70,17,0.920682730923695,2.87048192771084
"Mini","Free","Between",70,18,0.889305816135084,2.76735459662289
"Mini","Free","Between",70,19,0.936491935483871,2.92036290322581
"Mini","Free","Between",70,20,0.885093167701863,2.72981366459627
"Mini","Free","Between",70,21,0.93,2.908
"Mini","Free","Between",70,22,0.927855711422846,2.9188376753507
"Mini","Free","Between",70,23,0.90272373540856,2.8852140077821
"Mini","Free","Between",70,24,0.909957627118644,2.88347457627119
"Mini","Free","Between",70,25,0.872319688109162,2.72904483430799
"Mini","Free","Between",70,26,0.9,2.79263157894737
"Mini","Free","Between",70,27,0.897087378640777,2.77281553398058
"Mini","Free","Between",70,28,0.890715667311412,2.77176015473888
"Mini","Free","Between",70,29,0.901010101010101,2.81717171717172
"Mini","Free","Between",70,30,0.909441233140655,2.84778420038536
"Mini","Free","Between",80,1,0.905353728489484,2.80210325047801
"Mini","Free","Between",80,2,0.907327586206897,2.79418103448276
"Mini","Free","Between",80,3,0.868972746331237,2.66981132075472
"Mini","Free","Between",80,4,0.902930402930403,2.83974358974359
"Mini","Free","Between",80,5,0.926977687626775,2.92292089249493
"Mini","Free","Between",80,6,0.901544401544402,2.78957528957529
"Mini","Free","Between",80,7,0.925420168067227,2.89495798319328
"Mini","Free","Between",80,8,0.90595009596929,2.8253358925144
"Mini","Free","Between",80,9,0.913173652694611,2.84930139720559
"Mini","Free","Between",80,10,0.896938775510204,2.81020408163265
"Mini","Free","Between",80,11,0.914728682170543,2.86531007751938
"Mini","Free","Between",80,12,0.931174089068826,2.91902834008097
"Mini","Free","Between",80,13,0.903846153846154,2.74908424908425
"Mini","Free","Between",80,14,0.888775510204082,2.80204081632653
"Mini","Free","Between",80,15,0.88963963963964,2.76689189189189
"Mini","Free","Between",80,16,0.912524850894632,2.79125248508946
"Mini","Free","Between",80,17,0.86969696969697,2.67474747474747
"Mini","Free","Between",80,18,0.891732283464567,2.82086614173228
"Mini","Free","Between",80,19,0.912621359223301,2.83980582524272
"Mini","Free","Between",80,20,0.892430278884462,2.8207171314741
"Mini","Free","Between",80,21,0.879684418145957,2.72485207100592
"Mini","Free","Between",80,22,0.904618473895582,2.80622489959839
"Mini","Free","Between",80,23,0.851851851851852,2.70043572984749
"Mini","Free","Between",80,24,0.927551020408163,2.90102040816327
"Mini","Free","Between",80,25,0.901923076923077,2.76923076923077
"Mini","Free","Between",80,26,0.930417495029821,2.93836978131213
"Mini","Free","Between",80,27,0.907407407407407,2.76252723311547
"Mini","Free","Between",80,28,0.887931034482759,2.81465517241379
"Mini","Free","Between",80,29,0.904716981132075,2.84433962264151
"Mini","Free","Between",80,30,0.903925619834711,2.81301652892562
"Mini","Free","Between",90,1,0.906862745098039,2.78529411764706
"Mini","Free","Between",90,2,0.917953667953668,2.84749034749035
"Mini","Free","Between",90,3,0.897504456327986,2.8475935828877
"Mini","Free","Between",90,4,0.902970297029703,2.81287128712871
"Mini","Free","Between",90,5,0.922459893048128,2.86898395721925
"Mini","Free","Between",90,6,0.895985401459854,2.76733576642336
"Mini","Free","Between",90,7,0.897849462365591,2.83978494623656
"Mini","Free","Between",90,8,0.880478087649402,2.78884462151394
"Mini","Free","Between",90,9,0.912451361867704,2.88132295719844
"Mini","Free","Between",90,10,0.905607476635514,2.84205607476636
"Mini","Free","Between",90,11,0.900584795321637,2.77972709551657
"Mini","Free","Between",90,12,0.914678899082569,2.84403669724771
"Mini","Free","Between",90,13,0.909919028340081,2.80465587044534
"Mini","Free","Between",90,14,0.904761904761905,2.8695652173913
"Mini","Free","Between",90,15,0.893292682926829,2.78556910569106
"Mini","Free","Between",90,16,0.910714285714286,2.82800751879699
"Mini","Free","Between",90,17,0.913214990138067,2.78698224852071
"Mini","Free","Between",90,18,0.907114624505929,2.75889328063241
"Mini","Free","Between",90,19,0.906832298136646,2.84782608695652
"Mini","Free","Between",90,20,0.905534351145038,2.80057251908397
"Mini","Free","Between",90,21,0.898305084745763,2.82203389830508
"Mini","Free","Between",90,22,0.9052734375,2.841796875
"Mini","Free","Between",90,23,0.899805447470817,2.86089494163424
"Mini","Free","Between",90,24,0.900608519269777,2.78296146044625
"Mini","Free","Between",90,25,0.906862745098039,2.8
"Mini","Free","Between",90,26,0.896039603960396,2.84158415841584
"Mini","Free","Between",90,27,0.910901467505241,2.84171907756813
"Mini","Free","Between",90,28,0.893075356415479,2.77494908350306
"Mini","Free","Between",90,29,0.872340425531915,2.66247582205029
"Mini","Free","Between",90,30,0.911591355599214,2.79469548133595
"Mini","Free","Between",100,1,0.92299794661191,2.84907597535934
"Mini","Free","Between",100,2,0.931192660550459,2.90642201834862
"Mini","Free","Between",100,3,0.892,2.808
"Mini","Free","Between",100,4,0.893640350877193,2.82456140350877
"Mini","Free","Between",100,5,0.910351201478743,2.82162661737523
"Mini","Free","Between",100,6,0.899408284023669,2.74852071005917
"Mini","Free","Between",100,7,0.901140684410646,2.76996197718631
"Mini","Free","Between",100,8,0.88695652173913,2.79130434782609
"Mini","Free","Between",100,9,0.915399239543726,2.82794676806084
"Mini","Free","Between",100,10,0.93011811023622,2.86318897637795
"Mini","Free","Between",100,11,0.904901960784314,2.79705882352941
"Mini","Free","Between",100,12,0.880769230769231,2.69711538461538
"Mini","Free","Between",100,13,0.881987577639752,2.7991718426501
"Mini","Free","Between",100,14,0.918831168831169,2.8474025974026
"Mini","Free","Between",100,15,0.901821862348178,2.81072874493927
"Mini","Free","Between",100,16,0.931670281995662,2.9175704989154
"Mini","Free","Between",100,17,0.932258064516129,2.92795698924731
"Mini","Free","Between",100,18,0.910714285714286,2.87710084033613
"Mini","Free","Between",100,19,0.912350597609562,2.82669322709163
"Mini","Free","Between",100,20,0.873540856031128,2.75389105058366
"Mini","Free","Between",100,21,0.911885245901639,2.85758196721311
"Mini","Free","Between",100,22,0.91995841995842,2.84095634095634
"Mini","Free","Between",100,23,0.903640256959315,2.82762312633833
"Mini","Free","Between",100,24,0.91588785046729,2.85046728971963
"Mini","Free","Between",100,25,0.910679611650485,2.8252427184466
"Mini","Free","Between",100,26,0.905566600397614,2.81908548707753
"Mini","Free","Between",100,27,0.911153119092628,2.88468809073724
"Mini","Free","Between",100,28,0.886868686868687,2.76969696969697
"Mini","Free","Between",100,29,0.885496183206107,2.75190839694656
"Mini","Free","Between",100,30,0.918650793650794,2.83829365079365
