"Cognition","Honesty","Communication","Rounds","Rep","Coop_Ewan","Payout"
"Mini","Free","Gossip",8,1,0.8875,2.79
"Mini","Free","Gossip",8,2,0.90375,2.88625
"Mini","Free","Gossip",8,3,0.88875,2.825
"Mini","Free","Gossip",8,4,0.88875,2.7525
"Mini","Free","Gossip",8,5,0.90125,2.82875
"Mini","Free","Gossip",8,6,0.90625,2.8375
"Mini","Free","Gossip",8,7,0.90625,2.85125
"Mini","Free","Gossip",8,8,0.90125,2.8825
"Mini","Free","Gossip",8,9,0.865,2.7325
"Mini","Free","Gossip",8,10,0.9175,2.865
"Mini","Free","Gossip",8,11,0.9125,2.8525
"Mini","Free","Gossip",8,12,0.90625,2.8025
"Mini","Free","Gossip",8,13,0.905,2.79625
"Mini","Free","Gossip",8,14,0.8725,2.655
"Mini","Free","Gossip",8,15,0.895,2.90625
"Mini","Free","Gossip",8,16,0.87875,2.74
"Mini","Free","Gossip",8,17,0.8675,2.70375
"Mini","Free","Gossip",8,18,0.895,2.79875
"Mini","Free","Gossip",8,19,0.92875,2.89375
"Mini","Free","Gossip",8,20,0.92625,2.9
"Mini","Free","Gossip",8,21,0.875,2.7
"Mini","Free","Gossip",8,22,0.8875,2.75625
"Mini","Free","Gossip",8,23,0.915,2.81125
"Mini","Free","Gossip",8,24,0.91875,2.86375
"Mini","Free","Gossip",8,25,0.90625,2.81125
"Mini","Free","Gossip",8,26,0.9,2.7925
"Mini","Free","Gossip",8,27,0.89875,2.81625
"Mini","Free","Gossip",8,28,0.92375,2.965
"Mini","Free","Gossip",8,29,0.92,2.895
"Mini","Free","Gossip",8,30,0.87875,2.7275
"Mini","Free","Gossip",9,1,0.907777777777778,2.8
"Mini","Free","Gossip",9,2,0.894444444444444,2.79444444444444
"Mini","Free","Gossip",9,3,0.893333333333333,2.82
"Mini","Free","Gossip",9,4,0.893333333333333,2.79444444444444
"Mini","Free","Gossip",9,5,0.875555555555556,2.69444444444444
"Mini","Free","Gossip",9,6,0.898888888888889,2.79222222222222
"Mini","Free","Gossip",9,7,0.912222222222222,2.85666666666667
"Mini","Free","Gossip",9,8,0.892222222222222,2.75333333333333
"Mini","Free","Gossip",9,9,0.914444444444444,2.76555555555556
"Mini","Free","Gossip",9,10,0.88,2.79555555555556
"Mini","Free","Gossip",9,11,0.898888888888889,2.76333333333333
"Mini","Free","Gossip",9,12,0.883333333333333,2.70111111111111
"Mini","Free","Gossip",9,13,0.907777777777778,2.82111111111111
"Mini","Free","Gossip",9,14,0.9,2.80444444444444
"Mini","Free","Gossip",9,15,0.907777777777778,2.75777777777778
"Mini","Free","Gossip",9,16,0.887777777777778,2.77333333333333
"Mini","Free","Gossip",9,17,0.917777777777778,2.82777777777778
"Mini","Free","Gossip",9,18,0.913333333333333,2.79333333333333
"Mini","Free","Gossip",9,19,0.884444444444444,2.75666666666667
"Mini","Free","Gossip",9,20,0.883333333333333,2.77333333333333
"Mini","Free","Gossip",9,21,0.916666666666667,2.86888888888889
"Mini","Free","Gossip",9,22,0.911111111111111,2.81888888888889
"Mini","Free","Gossip",9,23,0.922222222222222,2.84555555555556
"Mini","Free","Gossip",9,24,0.936666666666667,2.89222222222222
"Mini","Free","Gossip",9,25,0.923333333333333,2.88444444444444
"Mini","Free","Gossip",9,26,0.897777777777778,2.80666666666667
"Mini","Free","Gossip",9,27,0.905555555555556,2.82111111111111
"Mini","Free","Gossip",9,28,0.907777777777778,2.83333333333333
"Mini","Free","Gossip",9,29,0.884444444444444,2.72
"Mini","Free","Gossip",9,30,0.898888888888889,2.82666666666667
"Mini","Free","Gossip",10,1,0.897,2.782
"Mini","Free","Gossip",10,2,0.907,2.795
"Mini","Free","Gossip",10,3,0.867,2.666
"Mini","Free","Gossip",10,4,0.922,2.846
"Mini","Free","Gossip",10,5,0.904,2.767
"Mini","Free","Gossip",10,6,0.895,2.809
"Mini","Free","Gossip",10,7,0.91,2.825
"Mini","Free","Gossip",10,8,0.93,2.925
"Mini","Free","Gossip",10,9,0.898,2.811
"Mini","Free","Gossip",10,10,0.9,2.837
"Mini","Free","Gossip",10,11,0.883,2.694
"Mini","Free","Gossip",10,12,0.889,2.773
"Mini","Free","Gossip",10,13,0.911,2.811
"Mini","Free","Gossip",10,14,0.902,2.824
"Mini","Free","Gossip",10,15,0.927,2.834
"Mini","Free","Gossip",10,16,0.884,2.777
"Mini","Free","Gossip",10,17,0.914,2.884
"Mini","Free","Gossip",10,18,0.904,2.796
"Mini","Free","Gossip",10,19,0.891,2.76
"Mini","Free","Gossip",10,20,0.902,2.791
"Mini","Free","Gossip",10,21,0.901,2.865
"Mini","Free","Gossip",10,22,0.891,2.757
"Mini","Free","Gossip",10,23,0.91,2.829
"Mini","Free","Gossip",10,24,0.888,2.771
"Mini","Free","Gossip",10,25,0.923,2.89
