"Cognition","Honesty","Communication","Population","Rep","Coop_Ewan","Payout"
"Mini","Free","none",4,24,0.908183632734531,2.86127744510978
"Mini","Free","none",4,25,0.8984375,2.77734375
"Mini","Free","none",4,26,0.908704883227176,2.79193205944798
"Mini","Free","none",4,27,0.898238747553816,2.79549902152642
"Mini","Free","none",4,28,0.892418032786885,2.70491803278689
"Mini","Free","none",4,29,0.918918918918919,2.84942084942085
"Mini","Free","none",4,30,0.909420289855072,2.78079710144928
"Mini","Free","none",4,31,0.922330097087379,2.87864077669903
"Mini","Free","none",4,32,0.884462151394422,2.71215139442231
"Mini","Free","none",4,33,0.899602385685885,2.779324055666
"Mini","Free","none",4,34,0.897119341563786,2.75411522633745
"Mini","Free","none",4,35,0.878937007874016,2.7490157480315
"Mini","Free","none",4,36,0.927063339731286,2.87523992322457
"Mini","Free","none",4,37,0.880952380952381,2.76761904761905
"Mini","Free","none",4,38,0.903846153846154,2.82692307692308
"Mini","Free","none",4,39,0.88952380952381,2.72761904761905
"Mini","Free","none",4,40,0.876299376299376,2.72141372141372
"Mini","Free","none",4,41,0.895635673624288,2.79601518026565
"Mini","Free","none",4,42,0.885687732342007,2.77137546468401
"Mini","Free","none",4,43,0.892553191489362,2.7936170212766
"Mini","Free","none",4,44,0.924849699398798,2.87074148296593
"Mini","Free","none",4,45,0.917582417582418,2.84432234432234
"Mini","Free","none",4,46,0.915831663326653,2.80661322645291
"Mini","Free","none",4,47,0.908704883227176,2.85562632696391
"Mini","Free","none",4,48,0.902610441767068,2.80622489959839
"Mini","Free","none",4,49,0.91578947368421,2.95368421052632
"Mini","Free","none",4,50,0.894572025052192,2.78288100208768
"Mini","Free","gossip",5,1,0.893822393822394,2.7519305019305
"Mini","Free","gossip",5,2,0.91063829787234,2.79787234042553
"Mini","Free","gossip",5,3,0.858316221765914,2.66632443531828
"Mini","Free","gossip",5,4,0.915821501014199,2.91075050709939
"Mini","Free","gossip",5,5,0.905325443786982,2.83727810650888
"Mini","Free","gossip",5,6,0.923236514522822,2.87033195020747
"Mini","Free","gossip",5,7,0.914046121593291,2.82180293501048
"Mini","Free","gossip",5,8,0.915,2.912
"Mini","Free","gossip",5,9,0.898580121703854,2.7606490872211
"Mini","Free","gossip",5,10,0.923312883435583,2.89672801635992
"Mini","Free","gossip",5,11,0.904854368932039,2.83883495145631
"Mini","Free","gossip",5,12,0.944444444444444,2.96604938271605
"Mini","Free","gossip",5,13,0.888659793814433,2.77525773195876
"Mini","Free","gossip",5,14,0.92184368737475,2.87074148296593
"Mini","Free","gossip",5,15,0.926906779661017,2.83580508474576
"Mini","Free","gossip",5,16,0.880539499036609,2.79961464354528
"Mini","Free","gossip",5,17,0.893684210526316,2.77157894736842
"Mini","Free","gossip",5,18,0.914225941422594,2.86087866108787
"Mini","Free","gossip",5,19,0.894736842105263,2.84514170040486
"Mini","Free","gossip",5,20,0.930208333333333,2.91458333333333
"Mini","Free","gossip",5,21,0.903660886319846,2.81599229287091
"Mini","Free","gossip",5,22,0.935483870967742,2.92439516129032
"Mini","Free","gossip",5,23,0.896659707724426,2.8027139874739
"Mini","Free","gossip",5,24,0.897773279352227,2.81983805668016
"Mini","Free","gossip",5,25,0.918918918918919,2.86969111969112
"Mini","Free","gossip",5,26,0.900210084033613,2.79306722689076
"Mini","Free","gossip",5,27,0.923799582463466,2.84237995824635
"Mini","Free","gossip",5,28,0.888268156424581,2.71973929236499
"Mini","Free","gossip",5,29,0.899209486166008,2.80434782608696
"Mini","Free","gossip",5,30,0.923459244532803,2.89065606361829
"Mini","Free","gossip",5,31,0.902091254752852,2.81558935361217
"Mini","Free","gossip",5,32,0.922549019607843,2.89509803921569
"Mini","Free","gossip",5,33,0.920995670995671,2.87662337662338
"Mini","Free","gossip",5,34,0.910058027079304,2.82978723404255
"Mini","Free","gossip",5,35,0.915254237288136,2.78072033898305
"Mini","Free","gossip",5,36,0.922199170124481,2.86203319502075
"Mini","Free","gossip",5,37,0.901052631578947,2.77684210526316
"Mini","Free","gossip",5,38,0.889779559118236,2.73947895791583
"Mini","Free","gossip",5,39,0.884313725490196,2.8
"Mini","Free","gossip",5,40,0.919103313840156,2.80994152046784
"Mini","Free","gossip",5,41,0.849056603773585,2.65932914046122
"Mini","Free","gossip",5,42,0.915094339622642,2.86698113207547
"Mini","Free","gossip",5,43,0.925389755011136,2.88084632516704
"Mini","Free","gossip",5,44,0.900925925925926,2.88611111111111
"Mini","Free","gossip",5,45,0.894736842105263,2.78947368421053
"Mini","Free","gossip",5,46,0.932048681541582,2.88742393509128
"Mini","Free","gossip",5,47,0.914829659318637,2.85971943887776
"Mini","Free","gossip",5,48,0.899801587301587,2.79265873015873
"Mini","Free","gossip",5,49,0.917307692307692,2.87307692307692
"Mini","Free","gossip",5,50,0.903,2.789
"Mini","Free","none",5,1,0.938735177865613,2.89920948616601
"Mini","Free","none",5,2,0.882470119521912,2.7699203187251
"Mini","Free","none",5,3,0.930693069306931,2.91386138613861
"Mini","Free","none",5,4,0.91501976284585,2.87252964426877
"Mini","Free","none",5,5,0.899193548387097,2.77721774193548
"Mini","Free","none",5,6,0.90625,2.85344827586207
"Mini","Free","none",5,7,0.937137330754352,2.9468085106383
"Mini","Free","none",5,8,0.917821782178218,2.87623762376238
"Mini","Free","none",5,9,0.894845360824742,2.83917525773196
"Mini","Free","none",5,10,0.895582329317269,2.84236947791165
"Mini","Free","none",5,11,0.886363636363636,2.77840909090909
"Mini","Free","none",5,12,0.90990099009901,2.83861386138614
"Mini","Free","none",5,13,0.895220588235294,2.84466911764706
"Mini","Free","none",5,14,0.908548707753479,2.8389662027833
"Mini","Free","none",5,15,0.915369649805447,2.8307392996109
"Mini","Free","none",5,16,0.922310756972112,2.91334661354582
"Mini","Free","none",5,17,0.904990403071017,2.81573896353167
"Mini","Free","none",5,18,0.913214990138067,2.84319526627219
"Mini","Free","none",5,19,0.892857142857143,2.78896103896104
"Mini","Free","none",5,20,0.909001956947162,2.8454011741683
"Mini","Free","none",5,21,0.951581027667984,2.94565217391304
"Mini","Free","none",5,22,0.893213572854291,2.7564870259481
"Mini","Free","none",5,23,0.938775510204082,2.91743970315399
"Mini","Free","none",5,24,0.911877394636015,2.85823754789272
"Mini","Free","none",5,25,0.90719696969697,2.87405303030303
"Mini","Free","none",5,26,0.909473684210526,2.79578947368421
"Mini","Free","none",5,27,0.904276985743381,2.79735234215886
"Mini","Free","none",5,28,0.907838983050847,2.79343220338983
"Mini","Free","none",5,29,0.912087912087912,2.85897435897436
"Mini","Free","none",5,30,0.905263157894737,2.86
"Mini","Free","none",5,31,0.933476394849785,2.85085836909871
"Mini","Free","none",5,32,0.918085106382979,2.8468085106383
"Mini","Free","none",5,33,0.90506329113924,2.78270042194093
"Mini","Free","none",5,34,0.894514767932489,2.80696202531646
"Mini","Free","none",5,35,0.8876953125,2.7705078125
"Mini","Free","none",5,36,0.898720682302772,2.75373134328358
"Mini","Free","none",5,37,0.905154639175258,2.83092783505155
"Mini","Free","none",5,38,0.926499032882012,2.89651837524178
"Mini","Free","none",5,39,0.933943089430894,2.96138211382114
"Mini","Free","none",5,40,0.91016333938294,2.79219600725953
"Mini","Free","none",5,41,0.920502092050209,2.85041841004184
"Mini","Free","none",5,42,0.933333333333333,2.92941176470588
"Mini","Free","none",5,43,0.900961538461538,2.84807692307692
"Mini","Free","none",5,44,0.861742424242424,2.64867424242424
"Mini","Free","none",5,45,0.89874739039666,2.80688935281837
"Mini","Free","none",5,46,0.931211498973306,2.90965092402464
"Mini","Free","none",5,47,0.901768172888016,2.84577603143418
"Mini","Free","none",5,48,0.931102362204724,2.89665354330709
"Mini","Free","none",5,49,0.898686679174484,2.83208255159475
"Mini","Free","none",5,50,0.898608349900596,2.78727634194831
"Mini","Free","gossip",6,1,0.906451612903226,2.77634408602151
"Mini","Free","gossip",6,2,0.911881188118812,2.88712871287129
"Mini","Free","gossip",6,3,0.919917864476386,2.88603696098563
"Mini","Free","gossip",6,4,0.906015037593985,2.80921052631579
"Mini","Free","gossip",6,5,0.919624217118998,2.91649269311065
"Mini","Free","gossip",6,6,0.880952380952381,2.75396825396825
"Mini","Free","gossip",6,7,0.876,2.715
"Mini","Free","gossip",6,8,0.889227642276423,2.7520325203252
"Mini","Free","gossip",6,9,0.918994413407821,2.81098696461825
"Mini","Free","gossip",6,10,0.915221579961464,2.81695568400771
"Mini","Free","gossip",6,11,0.917184265010352,2.8592132505176
"Mini","Free","gossip",6,12,0.902372262773723,2.86131386861314
"Mini","Free","gossip",6,13,0.903726708074534,2.86024844720497
"Mini","Free","gossip",6,14,0.895277207392197,2.78542094455852
"Mini","Free","gossip",6,15,0.909375,2.84270833333333
"Mini","Free","gossip",6,16,0.927579365079365,2.89384920634921
"Mini","Free","gossip",6,17,0.899047619047619,2.84380952380952
"Mini","Free","gossip",6,18,0.939524838012959,2.81857451403888
"Mini","Free","gossip",6,19,0.904669260700389,2.77918287937743
"Mini","Free","gossip",6,20,0.91015625,2.8388671875
"Mini","Free","gossip",6,21,0.902750491159136,2.84970530451866
"Mini","Free","gossip",6,22,0.886051080550098,2.72495088408644
"Mini","Free","gossip",6,23,0.923553719008264,2.87809917355372
"Mini","Free","gossip",6,24,0.911650485436893,2.79029126213592
"Mini","Free","gossip",6,25,0.896153846153846,2.81634615384615
"Mini","Free","gossip",6,26,0.923379174852652,2.85265225933202
"Mini","Free","gossip",6,27,0.876267748478702,2.7474645030426
"Mini","Free","gossip",6,28,0.889795918367347,2.7530612244898
"Mini","Free","gossip",6,29,0.909751037344398,2.77489626556017
"Mini","Free","gossip",6,30,0.899209486166008,2.81818181818182
"Mini","Free","gossip",6,31,0.897058823529412,2.8156862745098
"Mini","Free","gossip",6,32,0.913865546218487,2.81932773109244
"Mini","Free","gossip",6,33,0.890562248995984,2.79317269076305
"Mini","Free","gossip",6,34,0.919354838709677,2.79334677419355
"Mini","Free","gossip",6,35,0.889473684210526,2.70315789473684
"Mini","Free","gossip",6,36,0.89,2.818
"Mini","Free","gossip",6,37,0.898272552783109,2.83685220729367
"Mini","Free","gossip",6,38,0.910204081632653,2.81020408163265
"Mini","Free","gossip",6,39,0.892175572519084,2.7824427480916
"Mini","Free","gossip",6,40,0.887896825396825,2.6984126984127
"Mini","Free","gossip",6,41,0.870221327967807,2.69416498993964
"Mini","Free","gossip",6,42,0.904471544715447,2.83231707317073
"Mini","Free","gossip",6,43,0.907587548638132,2.83268482490272
"Mini","Free","gossip",6,44,0.910845588235294,2.82996323529412
